id,name,branch,semester,year,attendance,mid_term_marks,class_test_score,quiz_avg_score,assignment_completion,assignment_delay,previous_sem_gpa,backlogs,class_participation,doubt_asking,attention_level,behaviour
STU0069,Vipul Jain,CIVIL,1,1,65,60,51,66,61,1,7.8,1,1,1,1,1
STU0070,Samarth Patel,MECH,8,4,63,50,69,56,81,1,6.4,1,1,1,1,1
STU0071,Nandini Reddy,MECH,5,3,30,41,44,24,52,3,5.4,3,1,1,0,0
STU0072,Samarth Shukla,MECH,4,2,38,46,28,34,45,5,5.7,5,0,2,0,1
STU0073,Ravi Srivastava,ECE,6,3,94,91,92,89,98,0,9.8,0,2,2,2,2
STU0074,Rohit Sharma,CSE,4,2,57,29,20,42,70,6,5.7,5,0,2,1,0
STU0075,Sohil Yadav,IT,4,2,41,35,25,25,45,5,4.5,2,0,2,1,1
STU0076,Sohil Arora,ECE,5,3,42,43,30,32,50,5,5.4,5,1,2,1,0
STU0077,Udit Bhatnagar,MECH,3,2,41,35,49,35,56,5,5.1,4,1,2,0,0
STU0078,Vedant Nair,CSE,2,1,43,43,49,29,42,3,5.8,4,1,1,1,0
STU0079,Arnav Trivedi,IT,1,1,100,86,95,89,100,0,8.9,0,2,2,2,2
STU0080,Piyush Rajput,EE,5,3,39,23,21,49,51,5,4.3,3,1,1,0,0
STU0081,Pranav Sharma,IT,8,4,32,28,21,25,52,4,5.1,3,1,2,1,0
STU0082,Tanmay Srivastava,ECE,1,1,60,66,53,60,84,3,6.2,2,1,1,1,1
STU0083,Rahul Chauhan,ECE,6,3,78,58,52,59,64,3,7.5,1,1,1,1,1
STU0084,Rahul Mehta,ECE,3,2,36,32,35,26,66,3,5.0,4,1,1,0,1
STU0085,Sarthak Dixit,IT,2,1,74,69,60,62,70,3,7.3,2,1,1,1,1
STU0086,Seema Chaudhary,CIVIL,5,3,100,81,100,82,90,0,8.3,0,2,2,2,2
STU0087,Sanchit Saxena,MECH,6,3,89,80,83,99,99,0,9.3,0,2,2,2,2
STU0088,Ayush Kumar,IT,7,4,76,70,70,53,68,2,7.3,1,1,1,1,1
STU0089,Vaibhav Rajput,EE,3,2,65,60,60,58,77,1,6.8,2,1,1,1,1
STU0090,Riya Bansal,EE,4,2,72,55,69,60,67,3,7.4,0,1,1,1,1
STU0091,Aarav Pandey,EE,3,2,85,93,95,83,86,0,9.5,0,2,2,2,2
STU0092,Priya Verma,MECH,6,3,44,37,29,25,52,5,5.0,3,1,1,1,0
STU0093,Arnav Kumar,CSE,5,3,74,64,52,70,85,3,7.9,2,1,1,1,1
STU0094,Zoya Dixit,ECE,3,2,66,70,61,60,72,2,7.0,2,1,1,1,1
STU0095,Himanshu Singh,MECH,5,3,58,36,33,30,64,4,4.7,2,0,2,0,0
STU0096,Himanshu Chopra,ECE,8,4,48,35,44,21,64,6,4.3,5,0,2,1,0
STU0097,Ankit Joshi,MECH,5,3,55,37,30,36,40,3,5.6,4,0,2,1,0
STU0098,Tanvi Bhatt,ECE,6,3,40,41,38,34,47,5,5.6,3,0,1,1,1
STU0099,Yogesh Patel,MECH,2,1,95,96,90,87,100,0,9.4,0,2,2,2,2
STU0100,Vaibhav Arora,CSE,8,4,75,69,62,52,79,2,7.1,1,1,1,1,1
STU0101,Vedant Mishra,IT,2,1,58,28,32,39,44,5,4.6,3,0,2,0,1
STU0102,Aryan Rastogi,EE,3,2,70,62,51,63,71,3,6.8,2,1,1,1,1
STU0103,Rohit Rajput,ECE,4,2,31,49,35,27,58,6,5.6,4,1,2,0,1
STU0104,Jatin Bansal,MECH,7,4,40,27,33,26,65,4,4.9,2,1,1,1,0
STU0105,Sanchit Jain,CSE,6,3,85,95,84,86,93,0,9.5,0,2,2,2,2
STU0106,Garima Arora,CSE,2,1,96,87,86,80,91,0,9.2,0,2,2,2,2
STU0107,Udit Saxena,EE,7,4,32,30,24,39,70,4,4.6,5,1,1,1,1
STU0108,Sumit Dixit,MECH,1,1,55,39,22,21,49,4,5.5,3,1,1,1,1
STU0109,Nikhil Kumar,IT,5,3,95,86,96,85,92,0,8.8,0,2,2,2,2
STU0110,Pooja Bansal,ECE,2,1,73,59,63,56,82,2,7.5,0,1,1,1,1
STU0111,Prachi Yadav,IT,8,4,52,39,33,44,56,4,4.3,2,1,2,1,0
STU0112,Ishaan Malhotra,CIVIL,6,3,66,61,67,50,69,2,7.6,2,1,1,1,1
STU0113,Anil Nair,CSE,5,3,98,81,83,83,88,0,8.1,0,2,2,2,2
STU0114,Akash Sethi,CSE,7,4,87,80,93,81,88,0,9.0,0,2,2,2,2
STU0115,Harshita Malhotra,EE,6,3,62,54,58,69,73,2,7.0,1,1,1,1,1
STU0116,Aarav Patel,MECH,2,1,35,22,37,38,59,4,4.8,5,1,1,0,0
STU0117,Srishti Singh,CIVIL,4,2,80,56,61,68,78,1,7.8,1,1,1,1,1
STU0118,Harshita Patel,CIVIL,8,4,57,38,26,31,47,3,4.2,3,0,1,0,1
STU0119,Alok Nair,CIVIL,1,1,67,50,69,64,84,1,6.6,0,1,1,1,1
STU0120,Anjali Chaudhary,MECH,6,3,66,53,67,63,71,1,6.7,1,1,1,1,1
STU0121,Himanshu Bhatnagar,ECE,4,2,97,88,87,90,98,0,8.2,0,2,2,2,2
STU0122,Simran Bhatt,CSE,2,1,94,99,80,82,97,0,8.1,0,2,2,2,2
STU0123,Garima Arora,MECH,8,4,65,67,66,55,77,1,7.9,0,1,1,1,1
STU0124,Aryan Chopra,CIVIL,5,3,67,68,59,64,77,2,6.1,0,1,1,1,1
STU0125,Sahil Rastogi,CSE,7,4,71,66,55,61,64,3,7.4,2,1,1,1,1
STU0126,Ishaan Rastogi,CSE,2,1,53,45,43,44,40,3,4.8,3,1,2,1,1
STU0127,Yash Shah,CIVIL,3,2,46,27,46,26,68,4,5.0,2,1,2,1,0
STU0128,Dhruv Mehta,CIVIL,1,1,76,51,51,65,61,2,6.8,0,1,1,1,1
STU0129,Anshul Jain,CSE,1,1,69,55,52,60,71,2,6.7,0,1,1,1,1
STU0130,Mohit Jain,EE,5,3,69,64,52,61,84,1,8.0,0,1,1,1,1
STU0131,Nisha Shukla,IT,8,4,89,97,95,100,90,0,8.2,0,2,2,2,2
STU0132,Tanvi Singh,IT,2,1,30,46,29,49,42,3,4.4,2,0,2,0,1
STU0133,Sneha Mehta,CSE,2,1,60,36,24,29,45,3,5.4,3,0,1,0,0
STU0134,Ananya Pillai,ECE,4,2,48,36,31,47,58,4,4.9,2,0,2,0,1
STU0135,Tanvi Nair,ECE,3,2,77,68,50,59,67,2,7.8,2,1,1,1,1
STU0136,Vishal Mehta,EE,7,4,43,29,36,35,64,5,5.4,4,1,2,0,1
STU0137,Ishaan Saxena,MECH,8,4,54,48,25,25,44,5,5.7,4,0,2,0,1
STU0138,Dhruv Arora,CSE,6,3,85,91,82,89,90,0,8.4,0,2,2,2,2
STU0139,Prachi Mishra,ECE,7,4,74,54,50,57,68,1,6.5,0,1,1,1,1
STU0140,Parth Chauhan,CSE,3,2,49,24,32,28,62,3,4.3,4,1,1,0,0
STU0141,Kavya Shukla,EE,7,4,95,82,80,93,87,0,8.3,0,2,2,2,2
STU0142,Ishaan Patel,CIVIL,2,1,46,20,23,49,59,6,4.8,5,0,1,1,0
STU0143,Pooja Sethi,EE,8,4,53,46,22,41,51,5,5.9,4,0,1,0,0
STU0144,Anshul Singh,EE,7,4,64,55,66,54,77,1,7.4,0,1,1,1,1
STU0145,Shruti Arora,EE,5,3,60,54,61,51,77,1,7.3,0,1,1,1,1
STU0146,Aditya Joshi,ECE,1,1,74,69,69,69,81,1,6.3,1,1,1,1,1
STU0147,Udit Kapoor,EE,6,3,93,89,80,85,86,0,8.2,0,2,2,2,2
STU0148,Chetan Shah,CIVIL,4,2,98,98,91,82,96,0,9.4,0,2,2,2,2
STU0149,Priya Rastogi,CIVIL,8,4,36,45,29,20,48,4,5.9,3,0,2,1,0
STU0150,Garima Pillai,CIVIL,8,4,65,68,60,57,61,3,6.3,1,1,1,1,1
STU0151,Ananya Rajput,MECH,4,2,46,35,22,23,68,6,4.8,3,1,1,1,1
STU0152,Namrata Sharma,EE,6,3,63,59,65,69,60,1,6.5,0,1,1,1,1
STU0153,Nandini Srivastava,CIVIL,2,1,70,61,57,59,65,1,8.0,1,1,1,1,1
STU0154,Vikas Shukla,MECH,6,3,70,67,51,60,63,3,7.9,0,1,1,1,1
STU0155,Kirti Jain,EE,6,3,59,32,34,42,53,4,4.8,3,0,1,0,0
STU0156,Sourabh Sethi,EE,1,1,75,68,50,68,63,1,7.2,0,1,1,1,1
STU0157,Siddhant Bhatt,CSE,7,4,70,50,57,52,68,2,7.7,0,1,1,1,1
STU0158,Ayush Saxena,EE,5,3,99,100,96,93,91,0,9.4,0,2,2,2,2
STU0159,Komal Agarwal,IT,4,2,62,51,70,51,78,1,6.7,0,1,1,1,1
STU0160,Ananya Arora,CSE,2,1,36,49,34,45,65,3,5.7,4,0,2,0,0
STU0161,Ananya Pandey,ECE,8,4,52,41,38,40,56,6,4.4,2,0,1,1,0
STU0162,Ananya Singh,IT,2,1,98,100,93,91,87,0,8.4,0,2,2,2,2
STU0163,Sakshi Rastogi,ECE,4,2,44,30,24,50,65,5,5.4,4,1,2,0,0
STU0164,Rahul Bansal,MECH,1,1,95,95,97,88,86,0,8.7,0,2,2,2,2
STU0165,Bhavna Singh,IT,1,1,66,54,61,61,80,1,7.2,0,1,1,1,1
STU0166,Raj Joshi,CSE,6,3,62,59,70,55,60,3,7.2,2,1,1,1,1
STU0167,Deepika Patel,ECE,4,2,39,22,34,40,61,4,5.8,4,1,2,0,0
STU0168,Samarth Patel,ECE,3,2,91,88,92,80,90,0,9.9,0,2,2,2,2
STU0169,Sneha Kapoor,ECE,4,2,40,34,35,30,55,5,5.1,4,0,2,1,0
STU0170,Nikhil Yadav,EE,2,1,93,86,98,88,98,0,9.4,0,2,2,2,2
STU0171,Sachin Kapoor,CSE,4,2,73,70,50,70,75,3,6.9,1,1,1,1,1
STU0172,Sakshi Gupta,ECE,4,2,37,34,26,44,70,6,5.9,4,1,1,0,1
STU0173,Sanya Joshi,CSE,4,2,98,88,91,90,86,0,8.6,0,2,2,2,2
STU0174,Nitesh Chopra,CIVIL,6,3,94,92,81,89,95,0,9.7,0,2,2,2,2
STU0175,Rajat Pandey,CIVIL,3,2,72,54,51,54,60,3,7.6,2,1,1,1,1
STU0176,Jatin Agarwal,IT,1,1,31,31,45,33,52,3,4.9,2,0,1,0,0
STU0177,Simran Pandey,EE,5,3,63,57,64,51,65,1,7.7,1,1,1,1,1
STU0178,Himanshu Srivastava,CIVIL,3,2,92,90,92,81,97,0,8.8,0,2,2,2,2
STU0179,Neha Mishra,MECH,3,2,91,94,86,97,96,0,8.5,0,2,2,2,2
STU0180,Simran Dixit,CSE,5,3,88,92,99,98,94,0,8.1,0,2,2,2,2
STU0181,Pranav Pandey,ECE,3,2,80,70,51,54,70,3,6.4,1,1,1,1,1
STU0182,Udit Patel,MECH,2,1,32,22,50,39,58,3,5.2,3,0,1,0,1
STU0183,Aditya Shukla,IT,1,1,58,20,27,47,70,3,4.1,2,1,1,1,0
STU0184,Sanya Chopra,MECH,3,2,87,84,96,85,93,0,9.6,0,2,2,2,2
STU0185,Anshul Patel,IT,1,1,87,82,87,98,98,0,9.7,0,2,2,2,2
STU0186,Riddhi Agarwal,CIVIL,6,3,74,57,64,65,72,2,6.2,2,1,1,1,1
STU0187,Rahul Srivastava,CSE,4,2,89,82,91,87,97,0,8.0,0,2,2,2,2
STU0188,Aryan Iyer,IT,6,3,57,41,21,20,67,4,5.3,4,0,2,1,0
STU0189,Anil Kapoor,ECE,1,1,64,59,58,54,76,1,6.1,2,1,1,1,1
STU0190,Nakul Trivedi,MECH,3,2,66,69,70,57,79,1,6.9,0,1,1,1,1
STU0191,Bhavna Dubey,IT,5,3,94,85,87,83,90,0,8.3,0,2,2,2,2
STU0192,Zoya Arora,EE,1,1,88,87,91,87,99,0,8.7,0,2,2,2,2
STU0193,Srishti Dixit,IT,3,2,94,82,95,95,94,0,9.5,0,2,2,2,2
STU0194,Saniya Bansal,ECE,7,4,96,100,87,85,96,0,10.0,0,2,2,2,2
STU0195,Aditya Sethi,CIVIL,2,1,50,32,30,25,54,3,4.3,4,1,1,0,0
STU0196,Krish Mehta,CSE,2,1,65,66,52,60,76,2,6.2,2,1,1,1,1
STU0197,Ashish Srivastava,EE,8,4,39,27,34,43,40,5,4.9,4,0,2,1,1
STU0198,Arnav Mehta,ECE,8,4,53,23,30,34,68,6,5.6,5,1,2,0,1
STU0199,Tushar Sethi,IT,6,3,40,49,23,31,65,5,5.0,4,0,2,1,0
STU0200,Ayush Bhatnagar,ECE,2,1,71,62,69,50,83,3,6.1,1,1,1,1,1
STU0201,Kirti Agarwal,MECH,8,4,64,68,59,60,79,3,6.6,2,1,1,1,1
STU0202,Sumit Nair,ECE,4,2,77,63,51,63,85,2,7.4,2,1,1,1,1
STU0203,Gaurav Srivastava,CSE,1,1,54,27,30,36,44,5,4.1,4,1,1,1,1
STU0204,Rahul Bhatt,CSE,5,3,58,28,42,38,49,5,5.7,4,0,1,1,0
STU0205,Isha Singh,ECE,8,4,37,30,27,28,62,5,5.6,2,0,2,0,0
STU0206,Ankita Jain,MECH,1,1,60,65,52,67,65,3,6.6,0,1,1,1,1
STU0207,Zoya Bhatnagar,EE,1,1,89,96,95,98,94,0,8.4,0,2,2,2,2
STU0208,Amit Sharma,IT,8,4,36,29,40,50,55,6,5.2,5,1,1,1,0
STU0209,Manisha Mishra,EE,7,4,31,22,45,32,69,3,5.1,2,0,1,0,0
STU0210,Seema Srivastava,MECH,7,4,34,32,22,49,47,5,5.2,4,0,2,0,1
STU0211,Bhavna Dubey,CIVIL,2,1,48,43,23,31,58,4,4.6,5,0,1,1,1
STU0212,Rohit Jain,CSE,8,4,33,46,47,23,41,3,5.1,2,1,2,1,0
STU0213,Rohan Sharma,CIVIL,8,4,70,67,70,50,83,2,7.1,1,1,1,1,1
STU0214,Arnav Patel,IT,2,1,62,58,58,68,78,2,6.6,2,1,1,1,1
STU0215,Sonam Tiwari,MECH,2,1,70,59,61,52,77,3,6.5,1,1,1,1,1
STU0216,Riya Gupta,IT,6,3,68,51,56,58,80,2,6.8,0,1,1,1,1
STU0217,Zoya Kumar,CIVIL,3,2,30,37,26,25,68,5,4.7,2,0,1,0,1
STU0218,Sakshi Sethi,MECH,2,1,62,50,61,54,81,2,7.5,1,1,1,1,1
STU0219,Avni Jain,EE,3,2,47,48,24,45,62,4,4.6,5,1,1,0,0
STU0220,Aryan Gupta,EE,5,3,38,32,41,41,44,4,5.2,3,0,1,0,1
STU0221,Kunal Kumar,CIVIL,6,3,41,50,42,38,41,6,5.7,3,0,2,1,1
STU0222,Vipul Gupta,CIVIL,7,4,76,59,55,68,60,3,6.9,0,1,1,1,1
STU0223,Mohit Agarwal,CSE,5,3,80,64,64,55,65,3,7.0,0,1,1,1,1
STU0224,Sohil Kapoor,EE,8,4,49,25,46,39,68,5,5.6,4,1,2,1,1
STU0225,Simran Mehta,CSE,7,4,47,22,34,41,63,3,4.2,2,1,1,0,0
STU0226,Mohit Sethi,CIVIL,2,1,88,81,80,99,97,0,8.9,0,2,2,2,2
STU0227,Nisha Tiwari,IT,2,1,95,94,88,99,96,0,10.0,0,2,2,2,2
STU0228,Himanshu Rajput,MECH,4,2,76,59,63,67,66,3,7.1,1,1,1,1,1
STU0229,Vishal Chauhan,EE,7,4,44,40,38,45,68,6,5.2,3,0,2,1,1
STU0230,Nisha Verma,MECH,8,4,74,54,70,56,75,3,7.0,2,1,1,1,1
STU0231,Deepak Nair,CSE,4,2,94,88,98,98,93,0,9.7,0,2,2,2,2
STU0232,Vikas Shah,CSE,7,4,77,68,67,61,68,3,7.1,0,1,1,1,1
STU0233,Vishal Kapoor,ECE,6,3,95,85,93,100,92,0,9.8,0,2,2,2,2
STU0234,Karan Rajput,IT,8,4,92,94,91,87,91,0,8.7,0,2,2,2,2
STU0235,Vikas Mehta,EE,7,4,58,48,39,39,64,4,4.5,3,0,1,1,1
STU0236,Namrata Gupta,EE,7,4,62,62,52,65,71,1,6.9,2,1,1,1,1
STU0237,Pratik Malhotra,CSE,2,1,54,27,30,21,45,3,5.8,2,1,1,0,1
STU0238,Divya Shukla,IT,6,3,42,33,35,38,50,6,5.6,5,1,2,1,0
STU0239,Meghna Dixit,MECH,7,4,68,50,68,54,81,2,6.7,0,1,1,1,1
STU0240,Zara Malhotra,EE,6,3,100,86,95,89,90,0,9.6,0,2,2,2,2
STU0241,Harsh Verma,CSE,5,3,62,67,60,61,73,3,6.2,0,1,1,1,1
STU0242,Siddhant Saxena,ECE,6,3,67,60,53,63,64,1,6.8,2,1,1,1,1
STU0243,Nikhil Nair,CIVIL,3,2,77,57,60,51,72,3,7.5,1,1,1,1,1
STU0244,Kavya Patel,EE,8,4,40,48,32,23,63,6,5.1,4,1,2,1,1
STU0245,Vedant Bhatnagar,IT,2,1,95,87,83,86,99,0,9.0,0,2,2,2,2
STU0246,Meghna Chaudhary,CIVIL,2,1,41,37,43,36,50,6,4.8,4,0,1,0,1
STU0247,Nikhil Arora,MECH,2,1,86,87,99,87,96,0,9.3,0,2,2,2,2
STU0248,Manisha Verma,ECE,2,1,99,81,88,97,95,0,9.4,0,2,2,2,2
STU0249,Arnav Srivastava,EE,7,4,65,58,67,60,79,3,6.0,2,1,1,1,1
STU0250,Deepak Srivastava,CIVIL,2,1,33,27,33,37,65,4,5.5,5,1,1,1,1
STU0251,Alok Mehta,IT,6,3,86,96,98,97,90,0,8.3,0,2,2,2,2
STU0252,Samarth Jain,CIVIL,3,2,97,89,86,82,95,0,8.3,0,2,2,2,2
STU0253,Meghna Pandey,CSE,1,1,52,36,21,49,54,3,4.3,4,1,2,1,1
STU0254,Piyush Chaudhary,CIVIL,6,3,68,59,57,59,77,3,7.8,0,1,1,1,1
STU0255,Arnav Reddy,MECH,2,1,74,65,51,65,69,1,6.9,0,1,1,1,1
STU0256,Sahil Saxena,CIVIL,7,4,68,65,63,53,65,1,8.0,2,1,1,1,1
STU0257,Isha Gupta,MECH,6,3,68,57,54,65,73,1,7.5,0,1,1,1,1
STU0258,Srishti Jain,MECH,7,4,63,63,54,69,66,1,7.0,2,1,1,1,1
STU0259,Aarav Bansal,IT,1,1,96,98,91,83,99,0,8.4,0,2,2,2,2
STU0260,Yash Arora,CSE,5,3,68,64,58,55,75,3,6.3,0,1,1,1,1
STU0261,Sohil Saxena,ECE,5,3,86,90,90,93,98,0,8.8,0,2,2,2,2
STU0262,Muskan Jain,MECH,6,3,56,23,20,24,69,4,5.9,5,1,1,0,1
STU0263,Anil Nair,CIVIL,2,1,80,54,69,69,79,3,7.8,1,1,1,1,1
STU0264,Sanya Pandey,IT,4,2,54,44,27,41,60,6,4.8,5,1,1,0,1
STU0265,Siddhant Yadav,CIVIL,3,2,63,70,67,60,84,2,6.9,2,1,1,1,1
STU0266,Tanmay Dixit,MECH,8,4,85,90,98,86,89,0,8.7,0,2,2,2,2
STU0267,Rahul Dixit,IT,4,2,90,90,86,84,88,0,9.4,0,2,2,2,2
STU0268,Simran Shah,CIVIL,2,1,32,43,42,41,46,6,5.8,3,0,1,1,0
STU0269,Manav Pillai,EE,6,3,91,88,96,83,85,0,9.7,0,2,2,2,2
STU0270,Sourabh Trivedi,CSE,6,3,95,90,93,90,94,0,9.9,0,2,2,2,2
STU0271,Rohit Mishra,CIVIL,2,1,65,67,63,64,63,1,7.9,1,1,1,1,1
STU0272,Dhruv Shah,CSE,5,3,72,61,59,68,63,3,7.8,1,1,1,1,1
STU0273,Simran Reddy,MECH,4,2,35,21,40,23,43,5,5.5,3,1,2,1,1
STU0274,Sneha Chauhan,MECH,7,4,61,58,63,55,70,3,6.0,1,1,1,1,1
STU0275,Saniya Chopra,MECH,1,1,61,66,58,65,75,2,6.2,2,1,1,1,1
STU0276,Krish Pillai,CSE,5,3,60,61,62,68,72,3,6.7,2,1,1,1,1
STU0277,Rohit Sharma,CIVIL,1,1,32,20,28,26,70,6,4.3,2,1,2,0,0
STU0278,Krish Trivedi,EE,3,2,47,21,48,20,65,3,5.1,5,1,1,1,0
STU0279,Gaurav Jain,CSE,5,3,66,63,68,54,80,3,7.7,1,1,1,1,1
STU0280,Vikas Pandey,IT,5,3,78,68,57,69,64,1,7.7,1,1,1,1,1
STU0281,Prateek Dubey,EE,6,3,64,66,67,65,76,3,6.1,1,1,1,1,1
STU0282,Pooja Agarwal,CIVIL,6,3,36,46,29,41,62,3,6.0,5,1,2,0,1
STU0283,Raj Rastogi,CIVIL,1,1,39,33,30,40,56,4,4.4,3,0,2,0,0
STU0284,Vipul Rajput,CSE,3,2,87,86,80,85,88,0,9.0,0,2,2,2,2
STU0285,Siddhant Joshi,ECE,3,2,67,70,59,57,69,2,7.8,2,1,1,1,1
STU0286,Kirti Chaudhary,EE,7,4,92,96,91,91,92,0,9.1,0,2,2,2,2
